report_id,indicator_id,indicator_name,dimension,indicator_type,status,value,unit,qualitative_text,evidence_quote,page_no,block_id,block_type,llm_confidence,llm_reason,source_candidate_count,elapsed_seconds,postprocess_repaired,quantitative_incomplete,repair_method,repair_reason,raw_response,run_id,result_id,pdf_sha256,parsed_sha256,parser_backend,parser_model,llm_model,prompt_version,indicator_pool_sha256,evidence_match_mode,value_origin,unit_origin,derivation_method,derivation_expression,derivation_inputs_json
000016_深康佳Ａ_2025_ESG报告,e_ghg_total,温室气体排放总量,E,quantitative,found,"113,126.46",吨二氧化碳当量,,"温室气体排放总量 | 吨二氧化碳当量 | - | 117,319.54 | 113,126.46",43,000016_深康佳Ａ_2025_ESG报告:p43:b0,table,1.0000,表格明确披露2025年温室气体排放总量数值及单位。,2,2.929,false,false,none,,,cg-20260822T011339Z-full200-vlm25-qwen36,ceba49839c2f87aac237f3b7b8cc8d3a1656d833460e9f6bd05d8cfcddd2e149,d7915e78af82038cda08053deefc7f26e0200daeabc825908cfb8b2295433952,69b0c867347ab0cff8cc117582ec9e81826de6caa27b28341189df5edc1cf8e7,vlm-engine,MinerU2.5-Pro-2605-1.2B,qwen3.6-27b-q4_k_m,evidence-only-20260822,c711f35e4acbc195d98da429757b583805f114c62321b6dfb3ecbbd026d2420e,exact_raw_substring,direct,direct,,,
000016_深康佳Ａ_2025_ESG报告,e_ghg_intensity,温室气体排放强度,E,quantitative,found,16.49,吨二氧化碳当量/百万营收,,温室气体排放强度 | 吨二氧化碳当量/百万营收 | 16.11 | 16.49,15,000016_深康佳Ａ_2025_ESG报告:p15:b0,table,1.0000,表格明确披露2025年温室气体排放强度数值及单位。,2,2.845,false,false,none,,,cg-20260822T011339Z-full200-vlm25-qwen36,9f5677e348b715227dfc6b3fc6c9adce23501844ce32c2e00c551873637e269f,d7915e78af82038cda08053deefc7f26e0200daeabc825908cfb8b2295433952,69b0c867347ab0cff8cc117582ec9e81826de6caa27b28341189df5edc1cf8e7,vlm-engine,MinerU2.5-Pro-2605-1.2B,qwen3.6-27b-q4_k_m,evidence-only-20260822,c711f35e4acbc195d98da429757b583805f114c62321b6dfb3ecbbd026d2420e,exact_raw_substring,direct,direct,,,
000016_深康佳Ａ_2025_ESG报告,e_carbon_management,碳排放管理措施,E,boolean,found,true,,成立EHSQ委员会及专业组，制定管理规定，构建绿色低碳管理体系，下达节能减排目标，采取技术措施及推动节能降碳项目。,制定《康佳集团股份有限公司节能降碳与生态环境保护管理工作规定,13,000016_深康佳Ａ_2025_ESG报告:p13:b3,paragraph,1.0000,证据明确披露了碳排放管理的组织架构、制度文件及具体措施。,2,3.187,true,false,exact_source_excerpt_reconciliation,replaced a joined/paraphrased quote with the longest verbatim source segment,,cg-20260822T011339Z-full200-vlm25-qwen36,d77c79c8f73b7bf8a0dfe9673a6a49717f584c63a4371169313641d5a2467634,d7915e78af82038cda08053deefc7f26e0200daeabc825908cfb8b2295433952,69b0c867347ab0cff8cc117582ec9e81826de6caa27b28341189df5edc1cf8e7,vlm-engine,MinerU2.5-Pro-2605-1.2B,qwen3.6-27b-q4_k_m,evidence-only-20260822,c711f35e4acbc195d98da429757b583805f114c62321b6dfb3ecbbd026d2420e,exact_raw_substring,,,,,
000016_深康佳Ａ_2025_ESG报告,e_climate_risk,气候风险管理,E,boolean,found,true,,基于TCFD完善气候风险管理体系，识别物理与转型风险，开展常态化识别与精细化评估，完善应对措施与应急预案。,基于气候相关财务信息披露工作组（TCFD）的披露建议与要求完善气候变化风险管理体系，综合判断当下自然与社会环境趋势，从物理风险、转型风险和机遇三大类别识别不同情境下的风险和机遇类型，并不断完善管理策略。,14,000016_深康佳Ａ_2025_ESG报告:p14:b4,paragraph,1.0000,证据明确披露了完善气候风险管理体系及识别评估流程。,5,3.288,false,false,none,,,cg-20260822T011339Z-full200-vlm25-qwen36,af0e1789857aafcbe5b6e9b45224d5dd050109c474c51c31dadb32d53e755026,d7915e78af82038cda08053deefc7f26e0200daeabc825908cfb8b2295433952,69b0c867347ab0cff8cc117582ec9e81826de6caa27b28341189df5edc1cf8e7,vlm-engine,MinerU2.5-Pro-2605-1.2B,qwen3.6-27b-q4_k_m,evidence-only-20260822,c711f35e4acbc195d98da429757b583805f114c62321b6dfb3ecbbd026d2420e,exact_raw_substring,,,,,
000016_深康佳Ａ_2025_ESG报告,e_energy_total,能源消耗总量,E,quantitative,found,3.50,万吨标准煤,,能源消耗总量 | 万吨标准煤 | - | 3.21 | 3.50,42,000016_深康佳Ａ_2025_ESG报告:p42:b3,table,1.0000,表格明确披露2025年能源消耗总量为3.50万吨标准煤。,2,2.835,false,false,none,,,cg-20260822T011339Z-full200-vlm25-qwen36,b541ad11f5b6e9e5142b8c592cc5c10886f5bb0c3e379a85a8df382c9f736903,d7915e78af82038cda08053deefc7f26e0200daeabc825908cfb8b2295433952,69b0c867347ab0cff8cc117582ec9e81826de6caa27b28341189df5edc1cf8e7,vlm-engine,MinerU2.5-Pro-2605-1.2B,qwen3.6-27b-q4_k_m,evidence-only-20260822,c711f35e4acbc195d98da429757b583805f114c62321b6dfb3ecbbd026d2420e,exact_raw_substring,direct,direct,,,
000016_深康佳Ａ_2025_ESG报告,e_electricity_total,耗电量,E,quantitative,found,"14,229.84",万千瓦时,,"电力消耗量 | 14,229.84万千瓦时",19,000016_深康佳Ａ_2025_ESG报告:p19:b5,table,1.0000,证据明确披露2025年电力消耗量数值及单位。,3,2.771,false,false,none,,,cg-20260822T011339Z-full200-vlm25-qwen36,185bde3a255c43af902ef1e7226cf2b73151021cc1156411cb9baf40452ce955,d7915e78af82038cda08053deefc7f26e0200daeabc825908cfb8b2295433952,69b0c867347ab0cff8cc117582ec9e81826de6caa27b28341189df5edc1cf8e7,vlm-engine,MinerU2.5-Pro-2605-1.2B,qwen3.6-27b-q4_k_m,evidence-only-20260822,c711f35e4acbc195d98da429757b583805f114c62321b6dfb3ecbbd026d2420e,exact_raw_substring,direct,direct,,,
000016_深康佳Ａ_2025_ESG报告,e_fuel_consumption,燃料消耗量,E,quantitative,found,3.50,万吨标准煤,2025年能源消耗总量为3.50万吨标准煤，统计范围为工业企业。,能源消耗总量 | 万吨标准煤 | - | 3.21 | 3.50,42,000016_深康佳Ａ_2025_ESG报告:p42:b3,table,1.0000,证据明确披露2025年能源消耗总量数值及单位。,3,3.200,false,false,none,,,cg-20260822T011339Z-full200-vlm25-qwen36,18658930764240fa147b14ed08c4bd42eb042e0bb3bc9a618be0d46ea3f7b268,d7915e78af82038cda08053deefc7f26e0200daeabc825908cfb8b2295433952,69b0c867347ab0cff8cc117582ec9e81826de6caa27b28341189df5edc1cf8e7,vlm-engine,MinerU2.5-Pro-2605-1.2B,qwen3.6-27b-q4_k_m,evidence-only-20260822,c711f35e4acbc195d98da429757b583805f114c62321b6dfb3ecbbd026d2420e,exact_raw_substring,direct,direct,,,
000016_深康佳Ａ_2025_ESG报告,e_water_total,总用水量,E,quantitative,missing,,,,,,,,1.0000,证据仅披露新鲜水和重复用水量，未明确给出总用水量数值。,2,1.822,false,false,none,,,cg-20260822T011339Z-full200-vlm25-qwen36,95aa93c19e029fef0c0fcbabbd1c5db151d30f5867420d7e3c54a4fdd1ddeeb6,d7915e78af82038cda08053deefc7f26e0200daeabc825908cfb8b2295433952,69b0c867347ab0cff8cc117582ec9e81826de6caa27b28341189df5edc1cf8e7,vlm-engine,MinerU2.5-Pro-2605-1.2B,qwen3.6-27b-q4_k_m,evidence-only-20260822,c711f35e4acbc195d98da429757b583805f114c62321b6dfb3ecbbd026d2420e,,,,,,
000016_深康佳Ａ_2025_ESG报告,e_cod,化学需氧量排放量,E,quantitative,found,36.54,吨,,化学需氧量排放量 | 36.54 吨 | ↓ 8.13%,17,000016_深康佳Ａ_2025_ESG报告:p17:b24,table,1.0000,证据明确给出2025年化学需氧量排放量为36.54吨。,2,2.747,false,false,none,,,cg-20260822T011339Z-full200-vlm25-qwen36,1f3058cfd16d73194e31b30fc818c347eb3f9e93aad08c3c446b1bf27821d109,d7915e78af82038cda08053deefc7f26e0200daeabc825908cfb8b2295433952,69b0c867347ab0cff8cc117582ec9e81826de6caa27b28341189df5edc1cf8e7,vlm-engine,MinerU2.5-Pro-2605-1.2B,qwen3.6-27b-q4_k_m,evidence-only-20260822,c711f35e4acbc195d98da429757b583805f114c62321b6dfb3ecbbd026d2420e,exact_raw_substring,direct,direct,,,
000016_深康佳Ａ_2025_ESG报告,e_ammonia_nitrogen,氨氮排放量,E,quantitative,found,4.5,吨,,氨氮排放量 | 4.5 吨 | ↓ 30.47%,17,000016_深康佳Ａ_2025_ESG报告:p17:b24,table,1.0000,证据明确给出2025年氨氮排放量数值及单位。,2,2.623,false,false,none,,,cg-20260822T011339Z-full200-vlm25-qwen36,f3098adb46c44faa94c2adf8bd03bb0f4a41f2a3ee8f97392599b912872b0a90,d7915e78af82038cda08053deefc7f26e0200daeabc825908cfb8b2295433952,69b0c867347ab0cff8cc117582ec9e81826de6caa27b28341189df5edc1cf8e7,vlm-engine,MinerU2.5-Pro-2605-1.2B,qwen3.6-27b-q4_k_m,evidence-only-20260822,c711f35e4acbc195d98da429757b583805f114c62321b6dfb3ecbbd026d2420e,exact_raw_substring,direct,direct,,,
